matrix_name,n,k,nnz,tiempoCSR_ms,tiempoCOO_ms,tiempoEigen_ms
data/ssm/Zd_Jac3_db/Zd_Jac3_db.mtx,22835,22835,713907,5.556224,2.776512,0.930519
data/ssm/Zd_Jac3_db/Zd_Jac3_db_b.mtx,22835,1,0,0.272032,0.010208,0.002574
data/ssm/bcsstk31_structural problem/bcsstk31.mtx,35588,35588,608502,6.016288,3.335872,0.900089
data/ssm/bayer10_chemical process simulation problem/bayer10.mtx,13436,13436,94926,5.603904,2.713440,0.136831
data/ssm/bayer10_chemical process simulation problem/bayer10_b.mtx,13436,1,0,0.538624,0.012320,0.001641
data/ssm/poli4_economic problem/poli4.mtx,33833,33833,73249,5.588416,2.795200,0.241734
data/ssm/poli3_economic problem/poli3.mtx,16955,16955,37849,5.558816,2.911968,0.113159
data/ssm/bcsstk18_structural problem/bcsstk18.mtx,11948,11948,80519,5.707776,2.982368,0.193683
data/ssm/rdist3a_chemical process simulation problem/rdist3a.mtx,2398,2398,61896,5.773248,3.200992,0.069964
data/ssm/lhr10c_chemical process simulation problem/lhr10c.mtx,10672,10672,232633,5.695264,2.939904,0.265834
data/ssm/west0479_chemical process simulation problem/west0479.mtx,479,479,1910,5.640288,2.963488,0.005058
data/ssm/bayer04_chemical process simulation problem/bayer04.mtx,20545,20545,159082,5.820128,2.950880,0.250275
data/ssm/bayer04_chemical process simulation problem/bayer04_b.mtx,20545,1,0,0.270336,0.008928,0.002546
data/ssm/bayer09_chemical process simulation problem/bayer09_b.mtx,3083,1,0,0.471040,0.011968,0.001015
data/ssm/bayer09_chemical process simulation problem/bayer09.mtx,3083,3083,21216,5.638176,2.760704,0.050788
data/ssm/bayer08_chemical process simulation problem/bayer08.mtx,3008,3008,27576,5.624160,2.750912,0.035072
data/ssm/std1_Jac3_db/std1_Jac3_db.mtx,21982,21982,531826,5.667520,2.848896,0.671594
data/ssm/std1_Jac3_db/std1_Jac3_db_b.mtx,21982,1,0,0.282784,0.010208,0.002702
data/ssm/thermal2_thermal problem/thermal2_b.mtx,1228045,1,0,0.513408,0.028864,3.676319
data/ssm/west0655_chemical process simulation problem/west0655.mtx,655,655,2854,5.783552,2.783232,0.006062
data/ssm/lhr71_chemical process simulation problem/lhr71_b.mtx,70304,1,0,0.295360,0.010176,0.030484
data/ssm/lhr71_chemical process simulation problem/lhr71.mtx,70304,70304,1528092,2.675232,1.468640,1.850201
data/ssm/radfr1_chemical process simulation problem/radfr1.mtx,1048,1048,13299,7.731200,2.808576,0.015202
data/ssm/Zd_Jac3_db/Zd_Jac3_db.mtx,22835,22835,713907,7.714816,3.862016,1.219052
data/ssm/Zd_Jac3_db/Zd_Jac3_db_b.mtx,22835,1,0,0.634080,0.014592,0.003178
data/ssm/bcsstk31_structural problem/bcsstk31.mtx,35588,35588,608502,7.641760,4.088064,0.992280
data/ssm/bayer10_chemical process simulation problem/bayer10.mtx,13436,13436,94926,5.703968,3.088800,0.144227
data/ssm/bayer10_chemical process simulation problem/bayer10_b.mtx,13436,1,0,0.274464,0.009024,0.001817
data/ssm/poli4_economic problem/poli4.mtx,33833,33833,73249,8.151520,4.138656,0.210211
data/ssm/poli3_economic problem/poli3.mtx,16955,16955,37849,6.387968,3.315744,0.135884
data/ssm/bcsstk18_structural problem/bcsstk18.mtx,11948,11948,80519,6.342656,3.319040,0.213278
data/ssm/rdist3a_chemical process simulation problem/rdist3a.mtx,2398,2398,61896,5.759488,2.791040,0.065732
data/ssm/lhr10c_chemical process simulation problem/lhr10c.mtx,10672,10672,232633,5.726816,3.119776,0.516057
data/ssm/west0479_chemical process simulation problem/west0479.mtx,479,479,1910,6.350752,3.296000,0.005507
data/ssm/bayer04_chemical process simulation problem/bayer04.mtx,20545,20545,159082,5.801984,3.004992,0.274846
data/ssm/bayer04_chemical process simulation problem/bayer04_b.mtx,20545,1,0,0.290176,0.009248,0.002688
data/ssm/bayer09_chemical process simulation problem/bayer09_b.mtx,3083,1,0,0.297088,0.010272,0.000766
data/ssm/bayer09_chemical process simulation problem/bayer09.mtx,3083,3083,21216,5.700064,3.105472,0.033708
data/ssm/bayer08_chemical process simulation problem/bayer08.mtx,3008,3008,27576,5.652448,2.930752,0.035815
